requestid,firstReq,type,ext,url,status,total_crawled_resources,total_crawled_domains,nel_max_age,nel_failure_fraction,nel_success_fraction,nel_include_subdomains,nel_report_to,total_crawled_resources_with_nel,rt_group,rt_collectors
2740075759,false,html,,https://www.bing.com/,200,130787672,1263001,604800,1.0,0.01,,network-errors,33,network-errors,[nel.bingparachute.com]
2799279820,false,html,,https://scotthelme.co.uk/introducing-the-reporting-api-nel-other-major-changes-to-report-uri/,200,130787672,1263001,10886400,,,,default,33,default,[scotthelme.report-uri.com]
2756586562,false,html,,https://www.bing.com/?form=MO0035,200,130787672,1263001,604800,1.0,0.01,,network-errors,33,network-errors,[nel.bingparachute.com]
2731241330,true,html,,https://www2.bing.com/,200,130787672,1263001,604800,1.0,0.01,,network-errors,33,network-errors,[nel.bingparachute.com]
2791293720,false,html,,https://www.bing.com/,200,130787672,1263001,604800,1.0,0.01,,network-errors,33,network-errors,[nel.bingparachute.com]
2789307119,false,script,json,https://www.gtopala.com/manifest.json,200,130787672,1263001,31536000,,,,default,33,default,[gtopala.report-uri.com]
2799279801,true,html,,https://scotthelme.co.uk/,200,130787672,1263001,10886400,,,,default,33,default,[scotthelme.report-uri.com]
2711318255,false,html,,https://www.bing.com/search?q=it-n&form=MSDTR1,200,130787672,1263001,604800,1.0,0.01,,network-errors,33,network-errors,[nel.bingparachute.com]
2697438644,false,script,,http://cpqa.catchpoint.com/jp/191/v3.1.5/M,200,130787672,1263001,2592000,1.0,0,true,network-errors,33,network-errors,[rqa.3genlabs.net]
2770687505,false,html,,https://www.bing.com/?FORM=UNKSBD,200,130787672,1263001,604800,1.0,0.01,,network-errors,33,network-errors,[nel.bingparachute.com]
2695657427,false,html,,https://www.bing.com/search?q=it-n&form=MSDTR1,200,130787672,1263001,604800,1.0,0.01,,network-errors,33,network-errors,[nel.bingparachute.com]
2789307095,false,image,php,https://www.gtopala.com/matomo/piwik/piwik.php?action_name=SIW%20%7C%20System%20Information%20for%20Windows%20by%20Gabriel%20Topala&idsite=1&rec=1&r=480741&h=0&m=39&s=18&url=https%3A%2F%2Fwww.gtopala.com%2F&_id=71410437c0a0e1a6&_idts=1540341559&_idvc=1&_idn=0&_refts=0&_viewts=1540341559&send_image=1&pdf=1&qt=0&realp=0&wma=0&dir=0&fla=0&java=0&gears=0&ag=0&cookie=1&res=1920x1200&gt_ms=209&pv_id=4ahGOt,200,130787672,1263001,31536000,,,,default,33,default,[gtopala.report-uri.com]
2756865876,true,html,,https://insertmedia.bing.office.net/,200,130787672,1263001,604800,1.0,0.01,,network-errors,33,network-errors,[nel.bingparachute.com]
2770687348,true,html,,https://m2.cn.bing.com/,200,130787672,1263001,604800,1.0,0.01,,network-errors,33,network-errors,[nel.bingparachute.com]
2764182621,false,html,,https://www.bing.com/,200,130787672,1263001,604800,1.0,0.01,,network-errors,33,network-errors,[nel.bingparachute.com]
2789307056,true,html,,https://www.gtopala.com/,200,130787672,1263001,31536000,,,,default,33,default,[gtopala.report-uri.com]
2701216528,false,html,,https://www.bing.com/search?q=it-n&form=MSDTR1,200,130787672,1263001,604800,1.0,0.01,,network-errors,33,network-errors,[nel.bingparachute.com]